"APPRAISAL_YR","ACCOUNT_NUM","LATE_APP_IND","LATE_DOC_IND"
"2019","99161012320000000","N","N"
"2019","99161013480000000","N","N"
"2019","99161020130000000","N","N"
"2019","99161020420000000","N","N"
"2019","99161020700000000","N","N"
"2019","99161101250000000","N","N"
"2019","99161115260000000","N","N"
"2019","99161117320000000","N","N"
"2019","99161117380000000","N","N"
"2019","99161121290000000","N","N"
"2019","99161123520000000","N","N"
"2019","99161206470000000","N","N"
"2019","99161208480000000","N","N"
"2019","99161221660000000","N","N"
"2019","99170104440000000","N","N"
"2019","99170119350000000","Y","N"
"2019","99170126560000000","N","N"
"2019","99170201240000000","N","N"
"2019","99170207160000000","N","N"
"2019","99170214110000000","N","N"
"2019","99170302300000000","N","N"
"2019","99170313600000000","N","N"
"2019","99170315180000000","N","N"
"2019","99170315250000000","N","N"
"2019","99170321117000000","N","N"
"2019","99170327350000000","N","N"
"2019","99170329380000000","N","N"
"2019","99170329390000000","N","N"
"2019","99170404210000000","N","N"
"2019","99170405370000000","Y","N"
"2019","99170412100000000","N","N"
"2019","99170412500000000","N","Y"
"2019","99170418130000000","N","N"
"2019","99170418210000000","N","N"
"2019","99170419100000000","N","N"
"2019","99170419700000000","N","N"
"2019","99170419800000000","N","N"
"2019","99170420100000000","N","N"
"2019","99170420170000000","N","N"
"2019","99170420400000000","N","N"
"2019","99170421450000000","N","N"
"2019","99170421530000000","N","N"
"2019","99170421540000000","N","N"
"2019","99170425800000000","N","N"
"2019","99170426160000000","N","N"
"2019","99170426170000000","N","N"
"2019","99170428900000000","N","N"
"2019","99170501200000000","N","N"
"2019","99170502130000000","N","N"
"2019","99170502160000000","N","N"
"2019","99170502180000000","N","N"
"2019","99170503120000000","N","N"
"2019","99170503180000000","N","N"
"2019","99170503200000000","N","N"
"2019","99170504180000000","N","N"
"2019","99170504220000000","N","N"
"2019","99170505120000000","N","N"
"2019","99170508280000000","N","N"
"2019","99170508470000000","N","N"
"2019","99170509200000000","N","N"
"2019","99170515740000000","N","N"
"2019","99170516350000000","N","N"
"2019","99170518110000000","N","N"
"2019","99170518500000000","N","N"
"2019","99170519100000000","N","N"
"2019","99170522240000000","N","N"
"2019","99170524100000000","N","N"
"2019","99170706900000000","N","N"
"2019","99170724116000000","N","N"
"2019","99170724460000000","N","N"
"2019","99170724480000000","N","N"
"2019","99170724680000000","N","N"
"2019","99170823470000000","Y","N"
"2019","99170829200000000","N","N"
"2019","99170906170000000","N","N"
"2019","99170926240000000","N","N"
"2019","99171114400000000","N","N"
"2019","99171129190000000","N","N"
"2019","99171206900000000","N","N"
"2019","99171211300000000","N","N"
"2019","99180201410000000","N","N"
"2019","99180213102000000","N","N"
"2019","99180213350000000","N","N"
"2019","99180221460000000","N","N"
"2019","99180228300000000","N","N"
"2019","99180314120000000","N","N"
"2019","99180314200000000","N","N"
"2019","99180316100000000","Y","N"
"2019","99180319500000000","N","N"
"2019","99180321560000000","N","N"
"2019","99180329610000000","N","N"
"2019","99180403330000000","N","N"
"2019","99180404700000000","N","N"
"2019","99180409140000000","N","N"
"2019","99180410300000000","N","N"
"2019","99180410740000000","Y","N"
"2019","99180411210000000","N","N"
"2019","99180411590000000","N","N"
"2019","99180411700000000","N","N"
"2019","99180412400000000","N","N"
"2019","99180419600000000","N","N"
"2019","99180419800000000","N","N"
"2019","99180423140000000","N","N"
"2019","99180423200000000","N","N"
"2019","99180425200000000","N","N"
"2019","99180425500000000","N","N"
"2019","99180426180000000","N","N"
"2019","99180430170000000","N","N"
"2019","99180501100000000","N","N"
"2019","99180501800000000","N","N"
"2019","99180503100000000","N","N"
"2019","99180503200000000","N","N"
"2019","99180503500000000","N","N"
"2019","99180507100000000","N","N"
"2019","99180507200000000","Y","N"
"2019","99180508110000000","N","N"
"2019","99180509200000000","N","N"
"2019","99180517250000000","N","N"
"2019","99180517400000000","N","N"
"2019","99180522320000000","N","N"
"2019","99180522730000000","N","N"
"2019","99180522750000000","N","N"
"2019","99180607200000000","N","N"
"2019","99180725700000000","N","N"
"2019","99180730141000000","N","N"
"2019","99180814116000000","N","N"
