"ACCOUNT_NUM","APPRAISAL_YR","TAX_OBJ_ID","SEQ_NUM","IMPR_TYP_DESC","IMPR_DESC","YR_BUILT","CONSTR_TYP_DESC","FLOOR_TYP_DESC","EXT_WALL_DESC","NUM_STORIES","AREA_SIZE","VAL_AMT","DEPRECIATION_PCT"
"00000138367000000","2019","00000138367000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","522","7471.39",".60"
"00000138431000000","2019","00000138431000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","570",".00",".35"
"00000138431010000","2019","00000138431010000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","596",".00",".35"
"00000138431020000","2019","00000138431020000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","570","5000.00",".35"
"00000138431030000","2019","00000138431030000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","573",".00",".35"
"00000138431040000","2019","00000138431040000","2","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","299",".00",".35"
"00000138431050000","2019","00000138431050000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","599",".00",".35"
"00000138431070000","2019","00000138431070000","2","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","628",".00",".35"
"00000138439000000","2019","00000138439000000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","441","17740.90",".15"
"00000138439000100","2019","00000138439000100","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","441","17740.90",".15"
"00000138448500000","2019","00000138448500000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448520000","2019","00000138448520000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448540000","2019","00000138448540000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448560000","2019","00000138448560000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448580000","2019","00000138448580000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448600000","2019","00000138448600000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448620000","2019","00000138448620000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448640000","2019","00000138448640000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448660000","2019","00000138448660000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448680000","2019","00000138448680000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448700000","2019","00000138448700000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448720000","2019","00000138448720000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448740000","2019","00000138448740000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448760000","2019","00000138448760000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448780000","2019","00000138448780000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448800000","2019","00000138448800000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448820000","2019","00000138448820000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448840000","2019","00000138448840000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448860000","2019","00000138448860000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448880000","2019","00000138448880000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448900000","2019","00000138448900000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448920000","2019","00000138448920000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448940000","2019","00000138448940000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448960000","2019","00000138448960000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138448980000","2019","00000138448980000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138449000000","2019","00000138449000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","525","100.00",".30"
"00000138587000000","2019","00000138587000000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","400","100.00",".30"
