"","Acct","count_of_311","count_of_311_scaled"
"270","00000184423000000",1,0.693255533297688
"271","00000184489000000",1,0.693255533297688
"272","00000184492000000",1,0.693255533297688
"273","00000185095000000",1,0.693255533297688
"274","00000185098000000",1,0.693255533297688
"275","00000185362000000",1,0.693255533297688
"276","00000185365000000",1,0.693255533297688
"277","00000185440000000",1,0.693255533297688
"278","00000186670000000",1,0.693255533297688
"279","00000186835000000",1,0.693255533297688
"280","00000186850000000",1,0.693255533297688
"281","00000186853000000",1,0.693255533297688
"282","00000187603000000",1,0.693255533297688
"283","00000187606000000",1,0.693255533297688
"284","00000187774000000",1,0.693255533297688
"285","00000187777000000",1,0.693255533297688
"286","00000187984000000",1,0.693255533297688
"287","00000188050000000",1,0.693255533297688
"288","00000188053000000",2,1.38651106659538
"289","00000188056000000",1,0.693255533297688
"290","00000188059000000",1,0.693255533297688
"291","00000188266000000",1,0.693255533297688
"292","00000188269000000",1,0.693255533297688
"293","00000188269000100",1,0.693255533297688
"294","00000188467000000",1,0.693255533297688
"295","00000188470000000",1,0.693255533297688
"296","00000188506000000",1,0.693255533297688
"297","00000188509000000",1,0.693255533297688
"298","00000188512000000",1,0.693255533297688
"299","00000188806000000",1,0.693255533297688
"300","00000188809000000",1,0.693255533297688
"301","00000188812000000",1,0.693255533297688
"302","00000189484000000",1,0.693255533297688
"303","00000189487000000",1,0.693255533297688
"304","00000189520000000",1,0.693255533297688
"305","00000189523000000",1,0.693255533297688
"306","00000189598000000",1,0.693255533297688
"307","00000189688000000",1,0.693255533297688
"308","00000189691000000",1,0.693255533297688
"309","00000189718000000",1,0.693255533297688
"310","00000189826000000",2,1.38651106659538
"311","00000190093000000",1,0.693255533297688
"312","00000190096000000",1,0.693255533297688
"313","00000190097000000",1,0.693255533297688
"314","00000190855000000",1,0.693255533297688
"315","00000191158000000",1,0.693255533297688
"316","00000191161000000",3,2.07976659989306
"317","00000191164000000",2,1.38651106659538
"318","00000191179000000",1,0.693255533297688
"319","00000191191000000",1,0.693255533297688
"320","00000191194000000",1,0.693255533297688
"321","00000191245000000",2,1.38651106659538
"322","00000191248000000",2,1.38651106659538
"323","00000191269000000",1,0.693255533297688
"324","00000191272000000",1,0.693255533297688
"325","00000191368000000",1,0.693255533297688
"326","00000191371000000",1,0.693255533297688
"327","00000191374000000",1,0.693255533297688
"328","00000191479000000",1,0.693255533297688
"329","00000191695000000",1,0.693255533297688
"330","00000191701000000",1,0.693255533297688
"331","00000191707000100",1,0.693255533297688
"332","00000192316000000",1,0.693255533297688
"333","00000192460000000",1,0.693255533297688
"334","00000193024000100",1,0.693255533297688
"335","00000193027000000",1,0.693255533297688
"336","00000193213000000",1,0.693255533297688
"337","00000193252000000",1,0.693255533297688
"338","00000194026000000",1,0.693255533297688
"339","00000194029000000",1,0.693255533297688
"340","00000194353000000",1,0.693255533297688
"341","00000194593000000",2,1.38651106659538
"342","00000194596000000",2,1.38651106659538
"343","00000194773000000",1,0.693255533297688
"344","00000194773000100",1,0.693255533297688
"345","00000194776000000",3,2.07976659989306
"346","00000194779000000",2,1.38651106659538
"347","00000194794000000",1,0.693255533297688
"348","00000194797000000",1,0.693255533297688
"349","00000195961000000",2,1.38651106659538
"350","00000195964000000",2,1.38651106659538
"351","00000195967000000",1,0.693255533297688
"352","00000195970000000",1,0.693255533297688
"353","00000196048000000",1,0.693255533297688
"354","00000196174000000",1,0.693255533297688
"355","00000196177000000",1,0.693255533297688
"356","00000196186000000",1,0.693255533297688
"357","00000196189000000",2,1.38651106659538
"358","00000196192000000",1,0.693255533297688
"359","00000196195000000",1,0.693255533297688
"360","00000196246000100",1,0.693255533297688
"361","00000196261000000",1,0.693255533297688
"362","00000196264000000",1,0.693255533297688
"363","00000196336000000",1,0.693255533297688
"364","00000196408000000",1,0.693255533297688
"365","00000196411000000",1,0.693255533297688
"366","00000196444000000",1,0.693255533297688
"367","00000196456000000",1,0.693255533297688
"368","00000196459000000",1,0.693255533297688
"369","00000196480000000",1,0.693255533297688
"370","00000196483000000",1,0.693255533297688
"371","00000196516000000",1,0.693255533297688
"372","00000196519000000",1,0.693255533297688
"373","00000196627000200",1,0.693255533297688
