"","Acct","days_from_CO_appro_to_issue","days_from_CO_appro_to_issue_scaled","count_COs","count_COs_scaled","days_since_issue","days_since_issue_scaled","CO_type","CO_sqft","CO_sqft_scaled","occupancy","CO_code_distr"
"1578","00000604921000000",0,0,1,0.38448812847302,379,3.63626662409908,3,NA,NA,7,2
"1579","00000604927000000",24,0.0249775662872084,1,0.38448812847302,606,5.81418885014259,2,NA,NA,7,3
"1580","00000604978000100",NA,NA,1,0.38448812847302,450,4.31746696792767,2,71400,0.980453468157041,26,3
"1581","00000605032000000",7,0.00728512350043578,1,0.38448812847302,546,5.23852658775224,2,2400,0.0329564190977157,26,3
"1582","00000605047000000",7,0.00728512350043578,1,0.38448812847302,519,4.97947856967658,2,1400,0.0192245778070008,26,3
"1583","00000605050000000",5,0.00520365964316842,2,0.768976256946041,403,3.86653152905522,2,NA,NA,26,3
"1584","00000606004000000",15,0.0156109789295052,2,0.768976256946041,428,4.10639080505121,2,1200,0.0164782095488578,20,3
"1585","00000606010000000",NA,NA,2,0.768976256946041,464,4.45178816248542,2,7270,0.099830486183497,7,3
"1586","00000606028000000",NA,NA,2,0.768976256946041,464,4.45178816248542,2,7270,0.099830486183497,7,3
"1587","00000606757000000",2367,2.46341247507593,1,0.38448812847302,393,3.77058781865683,2,33054,0.453892282023289,21,3
"1588","00000606821000000",1125,1.17082341971289,1,0.38448812847302,620,5.94851004470034,2,11000,0.151050254197863,2,3
"1589","00000606840950000",99,0.103032460934735,1,0.38448812847302,700,6.71605972788749,2,2700,0.0370759714849301,20,3
"1590","00000606992900000",1,0.00104073192863368,3,1.15346438541906,506,4.85475174615867,2,600,0.00823910477442891,20,3
"1591","00000608845000000",691,0.719145762685875,1,0.38448812847302,716,6.86956966452491,2,1480,0.020323125110258,20,3
"1592","00000608854000000",10,0.0104073192863368,1,0.38448812847302,564,5.41122526646935,2,1900,0.0260904984523582,11,3
"1593","00000608857000000",10,0.0104073192863368,1,0.38448812847302,564,5.41122526646935,2,1900,0.0260904984523582,11,3
"1594","00000608953000000",1,0.00104073192863368,5,1.9224406423651,434,4.16395703129024,2,2800,0.0384491556140016,7,3
"1595","00000608963000000",NA,NA,2,0.768976256946041,472,4.52854313080413,2,20000,0.274636825814297,7,3
