"","Shape_STAr","Shape_STLe","Acct","count_of_311"
"45",7707.26464844,374.881359471,"00000398140000000",2.77609553300058
"46",7800.21191406,406.022082438,"00000281782000000",2.77609553300058
"47",8251.09960938,378.566538368,"00000794211920000",2.77609553300058
"48",8296.67382813,378.285412614,"00000794211930000",2.77609553300058
"49",8424.94824219,382.010832919,"00000397624000000",2.77609553300058
"50",8474.50976563,392.881575585,"00000799886690000",2.77609553300058
"51",8758.07910156,437.962285315,"00000336835000000",2.77609553300058
"52",8992.13867188,397.063091208,"00000714106000000",2.77609553300058
"53",8999.99609375,389.999906172,"00000811151730000",2.77609553300058
"54",9295.54101563,392.583882824,"00000232585000000",2.77609553300058
"55",9375,399.999980134,"00000811145600000",2.77609553300058
"56",9375.00585938,400.000099466,"00000811145620000",2.77609553300058
"57",10499.0644531,416.422134691,"00000397903000000",2.77609553300058
"58",10946.3876953,450.088519458,"00000441109000000",2.77609553300058
"59",13475.1992188,507.054665459,"00000241582000000",2.77609553300058
"60",15107.1123047,497.157442615,"00000467491000000",2.77609553300058
"61",15265.5126953,571.152197226,"00000241585000000",2.77609553300058
"62",25669.3798828,676.835568389,"00296100010030000",2.77609553300058
"63",1914.41210938,227.944058756,"00000398160000000",2.08207164975043
"64",1987.33886719,234.238267134,"00000398160100000",2.08207164975043
"65",2099.29394531,255.749897164,"00000398160200000",2.08207164975043
"66",2367.80664063,268.296024809,"00000811286400000",2.08207164975043
"67",2549.09179688,271.497072993,"00000811286300000",2.08207164975043
"68",2794.81542969,256.867578585,"00000268504000000",2.08207164975043
"69",3189.75097656,279.492097278,"00000662159390000",2.08207164975043
"70",3542.55957031,289.450344555,"00000820829070000",2.08207164975043
"71",3584.18359375,286.950355488,"00000820829060000",2.08207164975043
"72",3752.4140625,288.094215872,"00000820829050000",2.08207164975043
"73",3883.52832031,302.833305264,"00000809781020000",2.08207164975043
"74",3972.31445313,304.461015749,"00000809779630000",2.08207164975043
"75",3973.66015625,304.945392288,"00000809781030000",2.08207164975043
"76",3984.06835938,304.554199136,"00000809779620000",2.08207164975043
"77",4009.96972656,329.197909661,"00000607010400100",2.08207164975043
"78",4326.74804688,311.876863472,"00000809781010000",2.08207164975043
"79",4493.86230469,334.040989762,"00000607011160100",2.08207164975043
"80",4649.15234375,340.422389373,"00000606906520000",2.08207164975043
"81",4943.56542969,368.823719519,"00000606905120000",2.08207164975043
"82",5124.40625,337.659012899,"00000607010000000",2.08207164975043
"83",5295.48730469,372.805954695,"00000606905040100",2.08207164975043
"84",5339.79882813,330.059709107,"00000398160300000",2.08207164975043
"85",5687.34082031,353.06202173,"00000256861000000",2.08207164975043
"86",6500.015625,360.00493192,"00000194776000000",2.08207164975043
"87",6578.390625,366.537689668,"00000205969000000",2.08207164975043
"88",6669.890625,363.392350561,"00000299470000000",2.08207164975043
"89",6685.34375,368.858195872,"00000287518000000",2.08207164975043
"90",6712.69238281,368.489293487,"00000205966000000",2.08207164975043
"91",6760.69433594,337.061029507,"00000120193000000",2.08207164975043
"92",6809.71875,376.77000596,"00000124324000000",2.08207164975043
"93",6892.97851563,360.451910877,"00000714613000000",2.08207164975043
"94",7006.30957031,393.391337641,"00000282175000000",2.08207164975043
"95",7068.51855469,388.058611469,"00000204667000000",2.08207164975043
"96",7119.67089844,381.155500871,"00000124318000000",2.08207164975043
"97",7125.5546875,354.683051501,"0060480Y000060000",2.08207164975043
"98",7135.01074219,385.399946598,"00000121411000000",2.08207164975043
"99",7252.27148438,367.282860704,"00000714616000000",2.08207164975043
"100",7321.98144531,348.161729191,"00000463717000000",2.08207164975043
"101",7331.09277344,398.177923126,"00000277633000000",2.08207164975043
"102",7338.29785156,364.301807417,"00000397630000000",2.08207164975043
"103",7366.03125,385.400263446,"00000396136000000",2.08207164975043
"104",7373.62304688,368.604505676,"00000487798000000",2.08207164975043
"105",7391.9609375,368.001910369,"00000719728000000",2.08207164975043
"106",7434.1015625,366.88512377,"00000397783000000",2.08207164975043
"107",7447.18164063,368.581623989,"00000397879000000",2.08207164975043
"108",7454.81054688,363.503395415,"00000610292460000",2.08207164975043
"109",7468.96484375,399.370104045,"00000621568000000",2.08207164975043
"110",7495.09082031,400.408466368,"00000277636000000",2.08207164975043
"111",7497.43261719,369.778537075,"00000719725000000",2.08207164975043
"112",7499.70996094,399.993511931,"00000197125000000",2.08207164975043
"113",7500.0234375,400.000431243,"00000570844000000",2.08207164975043
"114",7500.03125,400.000922478,"00000570835000000",2.08207164975043
"115",7504.265625,387.571237428,"00000396139000000",2.08207164975043
"116",7511.25292969,371.784284458,"00000398137000000",2.08207164975043
"117",7524.99609375,371.110576139,"00000668953000000",2.08207164975043
"118",7536.07324219,370.058840678,"00000397876000000",2.08207164975043
"119",7553.2265625,367.462561962,"00000397615000000",2.08207164975043
"120",7575.94824219,372.799439645,"00000398143000000",2.08207164975043
"121",7588.77734375,372.972135782,"00000627802000000",2.08207164975043
"122",7591,372.262342187,"00000440983000000",2.08207164975043
"123",7602.6171875,373.710200458,"00000397570000000",2.08207164975043
"124",7612.67382813,373.647905434,"00000714082000000",2.08207164975043
"125",7624.48046875,378.186726034,"00000312928000000",2.08207164975043
"126",7626.46875,374.109444583,"00000714085000000",2.08207164975043
"127",7638.16699219,374.194701448,"00000397567000000",2.08207164975043
"128",7666.32128906,371.310966689,"00000204460000000",2.08207164975043
"129",7685.75683594,400.294246793,"00000191161000000",2.08207164975043
"130",7693.51757813,373.247911599,"00000396508000000",2.08207164975043
"131",7738.73632813,407.035115939,"00000272560000000",2.08207164975043
"132",7752.93359375,380.007659664,"00000312931000000",2.08207164975043
"133",7850.95214844,380.786014545,"00000242377000000",2.08207164975043
"134",7874.98242188,359.999687818,"00000158845000000",2.08207164975043
"135",7896.60644531,387.250138462,"00000531664000000",2.08207164975043
"136",7949.92578125,409.767955673,"00000123934000000",2.08207164975043
"137",7951.07421875,378.013860372,"00000440986000000",2.08207164975043
"138",7972.84179688,426.347098826,"00000346546000000",2.08207164975043
"139",8014.97070313,373.463423316,"00000519499000000",2.08207164975043
"140",8044.07226563,385.634205903,"00000242128000000",2.08207164975043
"141",8070.27148438,422.670416379,"00000346531000000",2.08207164975043
"142",8259.140625,426.875469411,"00000336820000000",2.08207164975043
"143",8279.24609375,377.996184814,"00000738186560000",2.08207164975043
"144",8314.8828125,388.305050152,"00000397714000000",2.08207164975043
"145",8421.0625,385.290996797,"00000820493200000",2.08207164975043
"146",8447.50878906,395.315192392,"00000531667000000",2.08207164975043
"147",8452.46386719,383.87604701,"00000397147000000",2.08207164975043
"148",8488.05761719,383.905564131,"00000794276620000",2.08207164975043
"149",8515.37890625,433.318336522,"00000346552000000",2.08207164975043
"150",8515.96875,407.799599213,"00000565378000000",2.08207164975043
"151",8517.46386719,385.030290126,"00000397786000000",2.08207164975043
"152",8532.26074219,384.059774056,"00000499996000000",2.08207164975043
"153",8581.44238281,387.219992106,"00000485062000000",2.08207164975043
"154",8622.22558594,378.884495089,"00000152824000000",2.08207164975043
"155",8639.99804688,383.999905655,"00000811158660000",2.08207164975043
"156",8648.55078125,386.415486978,"00000794276630000",2.08207164975043
"157",8696.68359375,388.449549425,"00000397135000000",2.08207164975043
"158",8738.43945313,395.886998455,"00000382237000000",2.08207164975043
"159",8776.07617188,392.888577671,"00000666220000000",2.08207164975043
"160",8790.6328125,420.125585826,"00000272557000000",2.08207164975043
"161",8801.27539063,435.168098918,"00000353215000000",2.08207164975043
"162",8889.16210938,415.317059849,"00000487006000000",2.08207164975043
"163",8892.77734375,380.483196591,"00000811152790000",2.08207164975043
"164",9037.70800781,385.681576258,"00000152704000000",2.08207164975043
"165",9066.77636719,399.635493901,"00000397696000000",2.08207164975043
"166",9133.62695313,391.273024048,"00000739838150000",2.08207164975043
"167",9375.02539063,400.000416914,"00000811146600000",2.08207164975043
"168",9459.60253906,454.42270207,"00000353218000000",2.08207164975043
"169",9577.00585938,414.426113762,"00000534067000000",2.08207164975043
"170",9736.1015625,423.590934179,"00000244993000000",2.08207164975043
"171",9783.33789063,424.740344649,"00000244990000000",2.08207164975043
"172",9802.51855469,399.885100068,"00000397987000000",2.08207164975043
"173",9808.734375,396.738142917,"00000811161000000",2.08207164975043
"174",9901.21582031,407.885797101,"00000126025000000",2.08207164975043
"175",10271.8886719,435.892406145,"00000396106000000",2.08207164975043
"176",10381.1210938,427.71832743,"00000737155000000",2.08207164975043
"177",10390.0117188,414.306837936,"00000797725150000",2.08207164975043
"178",10412.2441406,412.715234798,"00000557242000000",2.08207164975043
"179",10607.3173828,416.201554839,"00000312697000000",2.08207164975043
"180",10616.4648438,429.407441788,"00000737152000000",2.08207164975043
"181",10732.2597656,416.980700364,"00000232582000000",2.08207164975043
"182",10899.2666016,417.906326035,"00000797725780000",2.08207164975043
"183",11025.6777344,447.075426311,"00000621574000000",2.08207164975043
"184",11041.6298828,487.494632201,"00000147157000000",2.08207164975043
"185",11110.8847656,422.955662712,"00000519991000000",2.08207164975043
"186",11126.0371094,429.074335254,"0084420C000210000",2.08207164975043
"187",11178.1425781,432.5268056,"00000737203000000",2.08207164975043
"188",12023.4423828,491.623120044,"00000395590000000",2.08207164975043
"189",12050.0585938,455.676223116,"00000518854000000",2.08207164975043
