"","Acct","Permit_Type","PermitDate","Mapsco","Permit_Date","Count_Permits","Days_Since_Permit"
"5632","001936001126A0000","Building (BU) Single Family  Addition","2018/10/22 00:00:00","36-S",2018-10-22,1,894
"5633","001936001127A0000","Building (BU) Single Family  Addition","2018/10/22 00:00:00","36-S",2018-10-22,1,894
"5634","00000347146000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","34-H",2018-10-11,2,905
"5635","00000347149000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","34-H",2018-10-11,2,905
"5636","00000347419000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","34-H",2018-10-11,2,905
"5637","00000183670000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","36-T",2018-10-11,2,905
"5638","00000183667000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","36-T",2018-10-11,2,905
"5639","00000405826000000","Building (BU) Single Family  Addition","2018/11/07 00:00:00","25-V",2018-11-07,1,878
"5640","00000405829000000","Building (BU) Single Family  Addition","2018/11/07 00:00:00","25-V",2018-11-07,1,878
"5641","00000183670000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","36-T",2018-10-11,2,905
"5642","00000183667000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","36-T",2018-10-11,2,905
"5643","00000347146000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","34-H",2018-10-11,2,905
"5644","00000347149000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","34-H",2018-10-11,2,905
"5645","00000347419000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","34-H",2018-10-11,2,905
"5646","00000227128000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","47-A",2018-10-11,2,905
"5647","00000227131000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","47-A",2018-10-11,2,905
"5648","00000613819000000","Building (BU) Single Family  Addition","2018/10/15 00:00:00","64-U",2018-10-15,1,901
"5649","00000613816000000","Building (BU) Single Family  Addition","2018/10/15 00:00:00","64-U",2018-10-15,1,901
"5650","00000788584000000","Building (BU) Single Family  Addition","2018/10/09 00:00:00","27-L,27-M",2018-10-09,1,907
"5651","00000227128000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","47-A",2018-10-11,2,905
"5652","00000227131000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","47-A",2018-10-11,2,905
"5653","00000820815120000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","71B-F",2018-10-11,1,905
"5654","00000820810840000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","71B-F",2018-10-11,1,905
"5655","00000733433120000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","15-T",2018-10-11,1,905
"5656","00000733434060000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","15-T",2018-10-11,1,905
"5657","00000583972000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","24-A",2018-10-11,1,905
"5658","00000583975000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","24-A",2018-10-11,1,905
"5659","00000371797000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","37-V",2018-10-11,1,905
"5660","00000371794000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","37-V",2018-10-11,1,905
"5661","00000373354000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","38-N",2018-10-11,1,905
"5662","00000373357000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","38-N",2018-10-11,1,905
"5663","00000643270000000","Building (BU) Single Family  Addition","2018/10/15 00:00:00","66-S",2018-10-15,2,901
"5664","00000643273000000","Building (BU) Single Family  Addition","2018/10/15 00:00:00","66-S",2018-10-15,2,901
"5665","00000322402000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","37-R",2018-10-11,1,905
"5666","00000471175000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","54-Y",2018-10-11,1,905
"5667","00000471172000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","54-Y",2018-10-11,1,905
"5668","00000329056000000","Building (BU) Single Family  Addition","2018/10/04 00:00:00","53-D",2018-10-04,2,912
"5669","00000329053000000","Building (BU) Single Family  Addition","2018/10/04 00:00:00","53-D",2018-10-04,2,912
"5670","00000227353000000","Building (BU) Single Family  Addition","2018/10/12 00:00:00","37-W",2018-10-12,1,904
"5671","00000320839000000","Building (BU) Single Family  Addition","2018/10/12 00:00:00","53-M",2018-10-12,1,904
"5672","00000320836000000","Building (BU) Single Family  Addition","2018/10/12 00:00:00","53-M",2018-10-12,1,904
"5673","00000364063000000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","54-K",2018-10-05,1,911
"5674","00000313162000000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","54-K",2018-10-05,1,911
"5675","00000364060000000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","54-K",2018-10-05,1,911
"5676","00000568468000000","Building (BU) Single Family  Addition","2018/10/11 00:00:00","58-R",2018-10-11,1,905
"5677","00000471607000000","Building (BU) Single Family  Addition","2018/09/19 00:00:00","54-X",2018-09-19,1,927
"5678","00000471604000000","Building (BU) Single Family  Addition","2018/09/19 00:00:00","54-X",2018-09-19,1,927
"5679","00000794140270000","Building (BU) Single Family  Addition","2018/10/15 00:00:00","26-M",2018-10-15,1,901
"5680","00814300010260000","Building (BU) Single Family  Addition","2018/10/15 00:00:00","26-M",2018-10-15,1,901
"5681","00000428431000000","Building (BU) Single Family  Addition","2018/10/30 00:00:00","27-U",2018-10-30,1,886
"5682","00000428428000000","Building (BU) Single Family  Addition","2018/10/30 00:00:00","27-U",2018-10-30,1,886
"5683","007542000A0040000","Building (BU) Single Family  Addition","2018/10/19 00:00:00","27-V",2018-10-19,1,897
"5684","007542000A0030000","Building (BU) Single Family  Addition","2018/10/19 00:00:00","27-V",2018-10-19,1,897
